algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
compact,505783.0,0.0,nfkzft_1000_20,feasible,0.0371780395507812,nfkzft,1000,20,True
compact,1003784.0,0.0448214339640079,hltzid_600_20,feasible,3600.000447034836,hltzid,600,20,False
mckp,502544.0,0.0,lauswa_400_20,feasible,59.40410774,lauswa,400,20,True
mckp,515299.0,0.0,qzlegy_1200_100,feasible,359.834947042,qzlegy,1200,100,True
compact,1009870.0,9.902254842450176e-05,rgnlie_400_100,feasible,0.1365430355072021,rgnlie,400,100,True
mckp,985661.0,0.0,dskmln_1000_100,feasible,263.513726391,dskmln,1000,100,True
mckp,972660.0,0.0,lhccyq_1200_20,feasible,50.79463849,lhccyq,1200,20,True
compact,1003227.0,9.967823864565184e-05,kdpggm_1200_20,feasible,0.4225661754608154,kdpggm,1200,20,True
compact,1003746.0,0.0487011158750845,ncktqf_600_20,feasible,3600.000347137451,ncktqf,600,20,False
compact,1004968.0,1.4361744141967593e-05,ksoguz_1000_20,feasible,0.1660521030426025,ksoguz,1000,20,True
compact,521804.0,0.0,wkzkve_1200_100,feasible,0.0030000209808349,wkzkve,1200,100,True
compact,994076.0,2.026908951907709,kdgyax_1200_100,feasible,3600.000776052475,kdgyax,1200,100,False
mckp,1004125.0,0.0,lqyhsi_400_20,feasible,74.587445952,lqyhsi,400,20,True
mckp,1002642.0,0.0,mhlray_600_20,feasible,66.998179308,mhlray,600,20,True
compact,1012111.0,0.0,euyllj_800_100,feasible,0.0369629859924316,euyllj,800,100,True
compact,1006962.0,0.0,yuwtnj_800_100,feasible,0.0773100852966308,yuwtnj,800,100,True
mckp,503761.0,0.0,oznuvs_1200_20,feasible,48.186742587,oznuvs,1200,20,True
mckp,1002946.0,0.0,bebcyr_400_20,feasible,68.736713028,bebcyr,400,20,True
mckp,1003129.0,0.0,rtivta_800_20,feasible,86.592411595,rtivta,800,20,True
mckp,1002523.0,0.0,wdqsdt_800_20,feasible,47.862097507,wdqsdt,800,20,True
compact,995426.0,0.5501609236602697,szqhek_800_20,feasible,3600.0007650852203,szqhek,800,20,False
compact,994404.0,0.0,pqxuaq_1000_20,feasible,0.2353360652923584,pqxuaq,1000,20,True
compact,1017557.0,0.0,zjuuef_1000_100,feasible,0.0676541328430175,zjuuef,1000,100,True
mckp,1004057.0,0.0,jjdpbt_1000_20,feasible,56.675920086,jjdpbt,1000,20,True
compact,1006783.0,9.932617125421145e-05,ytxvwr_1000_100,feasible,364.0893228054047,ytxvwr,1000,100,True
mckp,974717.0,0.0,vkerpv_1200_20,feasible,52.390928958,vkerpv,1200,20,True
mckp,1004424.0,0.0,yyqogr_800_100,feasible,211.771556971,yyqogr,800,100,True
mckp,1011257.0,0.0,elmhyx_1000_100,feasible,291.783566518,elmhyx,1000,100,True
compact,1004874.0,4.890619099117261e-05,fyiqhf_1000_20,feasible,0.2395260334014892,fyiqhf,1000,20,True
compact,603154.0,0.0,qxcdku_800_20,feasible,0.012557029724121,qxcdku,800,20,True
mckp,990548.0,0.0,kzaxan_600_20,feasible,64.176558227,kzaxan,600,20,True
mckp,999208.0,0.0,ysjxpp_400_20,feasible,67.932563098,ysjxpp,400,20,True
compact,992564.0,0.8232836631811243,cmidff_1000_20,feasible,3600.000730037689,cmidff,1000,20,False
compact,999392.0,0.027637739261471,uotyvv_1000_20,feasible,3600.000540971756,uotyvv,1000,20,False
compact,1001766.0,0.075774363197159,ziizbq_600_100,feasible,3600.000403881073,ziizbq,600,100,False
