algorithm,primal_lb,instance,status,time_elapsed,num_items,num_classes,repetition,pisinger_R,knapsack_generator,optimal
mckp,4738780.0,circle_10000-rnduniform-rnduniform-1000-20-2,feasible,241.099530906,1000,20,2,10000,circle,True
compact,2458987.0,subset_sum_10000-rnduniform-rnduniform-1000-20-5,feasible,0.0205321311950683,1000,20,5,10000,subset_sum,True
mckp,5816079.0,almost_strongly_correlated_10000-rnduniform-rnduniform-2000-100-1,feasible,73.197941772,2000,100,1,10000,almost_strongly_correlated,True
mckp,335501.0,strongly_correlated_1000-rnduniform-rnduniform-1000-100-9,feasible,1.502568914,1000,100,9,1000,strongly_correlated,True
mckp,526453.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-200-20-4,feasible,4.373454367,200,20,4,10000,inverse_strongly_correlated,True
compact,710560.0,uncorrelated_similar-rnduniform-rnduniform-2000-100-2,feasible,0.0707221031188964,2000,100,2,100000,uncorrelated_similar,True
compact,628520.0,span_weakly_correlated_10000-rnduniform-rnduniform-200-20-6,feasible,3600.000419139862,200,20,6,10000,span_weakly_correlated,False
compact,139862.0,inverse_strongly_correlated_1000-rnduniform-rnduniform-500-20-7,feasible,3600.0005838871,500,20,7,1000,inverse_strongly_correlated,False
compact,198242.0,uncorrelated_1000-rnduniform-rnduniform-500-20-3,feasible,0.0210390090942382,500,20,3,1000,uncorrelated,True
mckp,2542998.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-1000-20-3,feasible,246.421278294,1000,20,3,10000,inverse_strongly_correlated,True
mckp,4054045.0,uncorrelated_10000-rnduniform-rnduniform-1000-20-7,feasible,476.775451366,1000,20,7,10000,uncorrelated,True
mckp,9918426.0,circle_10000-rnduniform-rnduniform-2000-20-5,feasible,1619.874552331,2000,20,5,10000,circle,True
mckp,2660442.0,span_strongly_correlated_10000-rnduniform-rnduniform-500-20-8,feasible,38.847472530000005,500,20,8,10000,span_strongly_correlated,True
mckp,29745.0,strongly_correlated_1000-rnduniform-rnduniform-100-20-7,feasible,0.167449309,100,20,7,1000,strongly_correlated,True
compact,2620108.0,weakly_correlated_10000-rnduniform-rnduniform-1000-20-3,feasible,0.0746188163757324,1000,20,3,10000,weakly_correlated,False
mckp,252699.0,circle_1000-rnduniform-rnduniform-500-20-7,feasible,4.39454235,500,20,7,1000,circle,True
mckp,107796.0,profit_ceiling_1000-rnduniform-rnduniform-500-20-1,feasible,5.799628557999999,500,20,1,1000,profit_ceiling,True
mckp,6551758.0,span_uncorrelated_10000-rnduniform-rnduniform-2000-100-0,feasible,108.604223007,2000,100,0,10000,span_uncorrelated,True
compact,326244.0,strongly_correlated_1000-rnduniform-rnduniform-1000-20-7,feasible,3600.0006849765778,1000,20,7,1000,strongly_correlated,False
